COD_ASL,COD_STRUTTURA,DENOM_STRUTTURA,INDIRIZZO_UBICAZIONE,COD_ISTAT_COMUNE_UBICAZIONE,COMUNE_UBICAZIONE,CAP,PROV_COMUNE_UBICAZIONE,TOT_POSTI_AUTORIZZATI,TOT_POSTI_ACCREDITATI,COD_GESTORE,DENOM_GESTORE,P_IVA,COD_FISCALE_GESTORE,INDIRIZZO_SEDE_LEGALE,COD_ISTAT_COMUNE_SEDE_LEGALE,COMUNE_SEDE_LEGALE,PROV_SEDE_LEGALE,NATURA_GIURIDICA,PUBBLICA_PRIVATA,ONLUS,WGS84_X,WGS84_Y,LOCATION
326,001491,FONDAZIONE RESIDENZA BERARDI MANZONI ONLUS,"VIA SAN BERNARDINO,63/B",017165,RONCADELLE,25030,BS,15,15,690545,FONDAZIONE RESIDENZA BERARDI MANZONI ONLUS,01427710171,80011870179,"VIA SAN BERNARDINO,63/B",017165,RONCADELLE,BS,FONDAZIONE,PRIVATA,NO,10.14672,45.5296,POINT (10.14672 45.5296)
321,000279,"""CDI C/O RSA """"CASA FAMIGLIA DI VILLA CORTESE""""""","VIA SAN GRATO,29",015248,VILLA CORTESE,20035,MI,30,30,690791,SODALITAS SOCIETA' COOPERATIVA A RESPONSABILITA' LIMITATA,10068220150,10068220150,"VIA GIOVANNI MARRADI,1",015146,MILANO,MI,SOCIETA' COOPERATIVA DI SOLIDARIETA' SOCIALE,PRIVATA,SI,8.8861274,45.5690202,POINT (8.8861274 45.5690202)
327,001800,"""CDI """"BARBIERI""""""","VIA XI FEBBRAIO,58/60",019036,CREMONA,26100,CR,40,40,690876,AZIENDA SPECIALE COMUNALE CREMONA SOLIDALE,01310740194,93042130190,"VIA BRESCIA,207",019036,CREMONA,CR,,PUBBLICA,,10.02889,45.1312,POINT (10.02889 45.1312)
327,001913,CENTRO DIURNO INTEGRATO I GIRASOLI,"VIA ERSILIO PINI,1",020071,BORGO VIRGILIO,46034,MN,10,10,691118,I GIRASOLI S.P.A.,01799680358,01799680358,"VIA DANUBIO,19",035033,REGGIO NELL'EMILIA,RE,,PRIVATA,,10.78602,45.12012,POINT (10.78602 45.12012)
322,002819,CDI C/O RSA CASA ALBERGO PER PERSONE ANZIANE,"VIA DEL LAGHETTO,9",013133,LOMAZZO,22074,CO,10,10,152072,FONDAZIONE CASE DI RIPOSO RIUNITE DI BREGNANO E LOMAZZO ONLUS,03850460134,03850460134,"VIA DEL LAGHETTO,9",013133,LOMAZZO,CO,,PRIVATA,,9.0292081,45.7058653,POINT (9.0292081 45.7058653)
321,000303,CDI DOTT. LUIGI BONOMI,"VIA IV NOVEMBRE,SNC",098056,TAVAZZANO CON VILLAVESCO,26838,LO,20,20,117946,ASP BASSO LODIGIANO,90519590153,90519590153,"VIALE LUIGI GANDOLFI,27/33",098019,CODOGNO,LO,,PUBBLICA,,9.406046,45.330688,POINT (9.406046 45.330688)
328,002163,"""CDI """"FONDAZIONE CONTE FRANCO CELLA DI RIVARA""""""","VIA EMILIA,328",018024,BRONI,27043,PV,30,30,690840,FONDAZIONE CONTE FRANCO CELLA DI RIVARA ONLUS,01331740181,84003740184,"VIA EMILIA,328",018024,BRONI,PV,FONDAZIONE,PRIVATA,NO,9.26485,45.06539,POINT (9.26485 45.06539)
322,000891,CDI FONDAZIONE F.LLI PAOLO E TITO MOLINA ONLUS,"VIALE LUIGI BORRI,133",012133,VARESE,21100,VA,25,25,691019,FONDAZIONE FRATELLI PAOLO E TITO MOLINA - ONLUS,00404960122,00404960122,"VIALE LUIGI BORRI,133",012133,VARESE,VA,FONDAZIONE,PRIVATA,NO,8.84291,45.80075,POINT (8.84291 45.80075)
321,000019,"CENTRO DIURNO INTEGRATO ""GLI OLEANDRI""","VIA GIORGIO AMENDOLA,20/A",015189,ROZZANO,20089,MI,20,20,113045,TERRANOVA S.R.L.,07640860966,07640860966,"VIA LARGA,8",015146,MILANO,MI,,PRIVATA,,9.1480044,45.3787456,POINT (9.1480044 45.3787456)
321,000484,CDI SIMONE DE' BEAUVOIR,"VIA GIOVANNI MARIA BICETTI DE' BUTTINONI,15",015146,MILANO,20156,MI,21,21,733644,EQUA COOPERATIVA SOCIALE,12481880156,12481880156,"VIA GIOVANNI MARIA BICETTI DE' BUTTINONI,15",015146,MILANO,MI,,PRIVATA,,9.1419606,45.5025495,POINT (9.1419606 45.5025495)
325,001302,CDI FONDAZIONE GIOVANNI CARLO ROTA,"VIA DELLA REPUBBLICA,1",016007,ALMENNO SAN SALVATORE,24031,BG,30,30,690861,FONDAZIONE GIOVANNI CARLO ROTA ONLUS,00401430160,00401430160,"VIA DELLA REPUBBLICA,1",016007,ALMENNO SAN SALVATORE,BG,,PRIVATA,,9.6005297,45.7510529,POINT (9.6005297 45.7510529)
326,001540,C.D.I FONDAZIONE CASA DI RIPOSO S.GIOVANNI ONLUS,"VIA TORRAZZO,9",017024,BOVEGNO,25061,BS,12,12,690811,FONDAZIONE CASA DI RIPOSO S. GIOVANNI ONLUS,01541600985,83002510176,"VIA TORRAZZO,9",017024,BOVEGNO,BS,,PRIVATA,,10.2718044,45.7920178,POINT (10.2718044 45.7920178)
325,001336,CENTRO DIURNO INTEGRATO PER ANZIANI,"VIA PAPA GIOVANNI XXIII,4",016038,BREMBATE DI SOPRA,24030,BG,20,20,112244,FONDAZIONE CASA SERENA ONLUS,04008150163,04008150163,"VIA PAPA GIOVANNI XXIII,4",016038,BREMBATE DI SOPRA,BG,,PRIVATA,,9.5841708,45.7199006,POINT (9.5841708 45.7199006)
324,001174,STEFANIA INVERNIZZI,"VIA MANTOVA,8",108034,MUGGIO',20835,MB,40,40,690603,LA MERIDIANA SOCIETA' COOPERATIVA SOCIALE,02322460961,08400690155,"VIALE CESARE BATTISTI,86",108033,MONZA,MB,,PRIVATA,,9.2303466,45.5841397,POINT (9.2303466 45.5841397)
321,000618,SAN ROCCO,"VIA MONVISO,87",015205,SEGRATE,20054,MI,12,12,691497,KOS CARE S.R.L.,01148190547,01148190547,"VIA DURINI,9",015146,MILANO,MI,SOCIETA' A RESPONSABILITA' LIMITATA,PRIVATA,NO,9.2951132,45.5072533,POINT (9.2951132 45.5072533)
327,001820,CENTRO DIURNO INTEGRATO FONDAZIONE CONTESSA RIZZINI ONLUS,"VICOLO VOLTO,16",020028,GUIDIZZOLO,46040,MN,20,20,691318,FONDAZIONE CONTESSA  RIZZINI ONLUS,01334910203,81000190207,"VICOLO VOLTO,16",020028,GUIDIZZOLO,MN,,PRIVATA,,10.5795636,45.3171997,POINT (10.5795636 45.3171997)
324,001126,CDI ARCOBALENO,"CORSO ITALIA,66",108023,DESIO,20832,MB,24,24,731788,CONSORZIO DESIO BRIANZA - AZIENDA SPECIALE CONSORTILE,00988950960,91005610158,"VIA LOMBARDIA,59",108023,DESIO,MB,,PUBBLICA,,9.20839,45.61934,POINT (9.20839 45.61934)
322,000892,CDI PAOLO ALBE',"VIA ENRICO TOTI,5",012078,GORLA MAGGIORE,21050,VA,40,40,691745,GORLA SERVIZI S.R.L.,02864390121,02864390121,"VIA ENRICO TOTI,40729",012078,GORLA MAGGIORE,VA,SOCIETA' A RESPONSABILITA' LIMITATA CON UN UNICO SOCIO,PRIVATA,NO,8.8920332,45.6620613,POINT (8.8920332 45.6620613)
321,000343,CENTRO DIURNO INTEGRATO PINDARO 44,"VIA PINDARO,44",015146,MILANO,20128,MI,30,30,690801,ANTEO COOPERATIVA SOCIALE ONLUS,01758780025,01758780025,VIA FELICE PIACENZA 11,096004,BIELLA,BI,SOCIETA' COOPERATIVA A RESPONSABILITA' LIMITATA,PRIVATA,NO,9.2303567,45.5167362,POINT (9.2303567 45.5167362)
322,002742,"""CDI C/O RSA """"G. PRINA""""""","PIAZZA GIUSEPPINA PRINA,1",013095,ERBA,22036,CO,40,40,691368,FONDAZIONE GIUSEPPINA PRINA - ONLUS,01224400133,82003210133,PIAZZA GIUSEPPINA PRINA 1,013095,ERBA,CO,FONDAZIONE,PRIVATA,NO,9.2230927,45.8107059,POINT (9.2230927 45.8107059)
322,002839,OPERA PIA ROSCIO ETS,"VIA LANDOLFO DA CARCANO,5",013003,ALBAVILLA,22031,CO,20,20,690859,OPERA PIA ROSCIO ONLUS,01380320133,82002480133,"VIA ROSCIO,16",013003,ALBAVILLA,CO,ENTE MORALE DI DIRITTO PRIVATO,PRIVATA,NO,9.1956,45.80258,POINT (9.1956 45.80258)
321,000302,CDI SANTA FRANCESCA CABRINI,"VIA COGOZZO,12",098050,SANT'ANGELO LODIGIANO,26866,LO,30,30,690591,FONDAZIONE MADRE CABRINI - ONLUS,04712690967,92544370155,"VIA COGOZZO,12",098050,SANT'ANGELO LODIGIANO,LO,FONDAZIONE,PRIVATA,SI,9.40059714,45.23531807,POINT (9.40059714 45.23531807)
325,001448,CDI FONDAZIONE I.P.S. CARD. GUSMINI ETS,"VIA SAN CARLO,30",016234,VERTOVA,24029,BG,23,23,690486,FONDAZIONE ISTITUTO POLIFUNZIONALE SOCIO-SANITARIO CARD. G. GUSMINI ONLUS,01824750168,81001730167,"VIA SAN CARLO,30",016234,VERTOVA,BG,,PRIVATA,,9.84986,45.80666,POINT (9.84986 45.80666)
321,000056,CDI I DELFINI,"VIA TRACIA,2",015146,MILANO,20148,MI,14,14,732575,PALOMA 2000 COOPERATIVA SOCIALE ARL,12370860152,12370860152,"VIALE TUNISIA,10",015146,MILANO,MI,,PRIVATA,,9.1357758,45.4718577,POINT (9.1357758 45.4718577)
323,000968,"""CDI """"SANTA MARIA DELLA NEVE""""""","VIA GIROLAMO ROMANINO,18",017143,PISOGNE,25055,BS,30,30,690577,FONDAZIONE ONLUS SANTA MARIA DELLE NEVE,01375920178,80046980175,"VIA GIROLAMO ROMANINO,18",017143,PISOGNE,BS,,PRIVATA,,10.11118,45.80684,POINT (10.11118 45.80684)
326,001632,CDI C/O FOND. ANGELO PASSERINI CASA DI RIPOSO VALSABBINA ONLUS,"VIA ANGELO PASSERINI,8",017197,VESTONE,25078,BS,30,30,690691,FONDAZIONE ANGELO PASSERINI - CASA DI RIPOSO VALSABBINA - ONLUS,01671590980,87000610177,"VIA ANGELO PASSERINI,8",017197,VESTONE,BS,,PRIVATA,,10.3864256,45.7038622,POINT (10.3864256 45.7038622)
323,000949,CDI MONS. GIACOMO CARETTONI ETS,"VIA ROMA,100",017148,PONTE DI LEGNO,25056,BS,15,15,690611,FONDAZIONE MONS. GIACOMO CARETTONI ONLUS,02502600980,81003050176,"VIA ROMA,100",017148,PONTE DI LEGNO,BS,,PRIVATA,,10.49772,46.25533,POINT (10.49772 46.25533)
326,019121,CENTRO DIURNO INTEGRATO DON MARIO PASINI,"VIA MONTE GRAPPA,105",017127,OSPITALETTO,25035,BS,25,25,690561,FONDAZIONE SERLINI ONLUS - R.S.A. E CENTRO MULTISERVIZI ANZIANI,01738780178,80019030172,"VIA MONTE GRAPPA,101",017127,OSPITALETTO,BS,,PRIVATA,,10.0784,45.56106,POINT (10.0784 45.56106)
324,001111,CDI KAROL WOJTYLA,"VIA MONTE GRAPPA,40",108027,LIMBIATE,20812,MB,40,40,692126,COMUNE DI LIMBIATE,00986290963,83005620154,"VIA MONTE BIANCO,2",108027,LIMBIATE,MB,,PUBBLICA,,9.12569,45.61499,POINT (9.12569 45.61499)
327,001968,CENTRO DIURNO INTEGRATO UNITA' GERIATRICA RIABILITATIVA ONLUS,"VIA DANTE ALIGHIERI,41",020021,CURTATONE,46010,MN,15,15,690747,UNITA' GERIATRICA RIABILITATIVA ONLUS,01541030209,01541030209,"VIA DANTE ALIGHIERI,41",020021,CURTATONE,MN,,PRIVATA,,10.74054,45.1367107,POINT (10.74054 45.1367107)
321,000087,"""CDI """"FAGGIO ROSSO""""""","VIA GIACOMO ANTONINI,3",015146,MILANO,20141,MI,30,30,690419,LA PICCOLA CASA DEL RIFUGIO,08634020153,80070250156,"VIA GIACOMO ANTONINI,3",015146,MILANO,MI,,PRIVATA,,9.1892325,45.4374343,POINT (9.1892325 45.4374343)
327,001845,CENTRO DIURNO INTEGRATO,"VIA ISIDORO CAPPI,34",020042,POGGIO RUSCO,46025,MN,12,12,691763,COMUNE DI POGGIO RUSCO,00402030209,00402030209,"PIAZZA I MAGGIO,5",020042,POGGIO RUSCO,MN,,PUBBLICA,,11.1229084,44.9762548,POINT (11.1229084 44.9762548)
321,000538,CDI OPERA PIA COLLEONI,"VIA BARTOLOMEO COLLEONI,5",015062,CASTANO PRIMO,20022,MI,40,40,691203,OPERA PIA FRANCESCA COLLEONI DE MAESTRI - IMPRESA SOCIALE,03690110154,03690110154,"VIA BARTOLOMEO COLLEONI,5",015062,CASTANO PRIMO,MI,,PRIVATA,,8.77332,45.55206,POINT (8.77332 45.55206)
327,001958,"CDI ""SOLDI""","VIA BRESCIA,207",019036,CREMONA,26100,CR,40,40,690876,AZIENDA SPECIALE COMUNALE CREMONA SOLIDALE,01310740194,93042130190,"VIA BRESCIA,207",019036,CREMONA,CR,,PUBBLICA,,10.03753022,45.15182072,POINT (10.03753022 45.15182072)
322,000870,CDI LONGHI E PIANEZZA,"VIA LIBERTA',19/21",012037,CASALZUIGNO,21030,VA,12,12,690461,FONDAZIONE CASA DI SOGGIORNO E RIPOSO LONGHI FRANCESCO E FAMIGLIA PIANEZZA FEDERICO ONLUS,02432600126,02432600126,"VIA DEL GAGGIOLO,12",012037,CASALZUIGNO,VA,FONDAZIONE,PRIVATA,NO,8.7114039,45.9066477,POINT (8.7114039 45.9066477)
325,001230,CDI C/O RSA OVIDIO CERRUTI,"VIA OVIDIO CERRUTI,6",016051,CAPRIATE SAN GERVASIO,24042,BG,30,30,200735,PROVINCIA NORD ITALIANA DELL'ORDINE DEI MINISTRI DEGLI INFERMI (CAMILLIANI),13471450968,01556270153,"VIA RUGGERO BOSCOVICH, 25",015146,MILANO,MI,,PRIVATA,,9.53529,45.60972,POINT (9.53529 45.60972)
326,001738,CDI C/O LA RSA PIO RICOVERO INABILI AL LAVORO,"VIA OLGA E GIULIO PLUDA,10",017043,CASTENEDOLO,25014,BS,22,22,690706,FONDAZIONE PIO RICOVERO INABILI AL LAVORO - ONLUS,03040990172,80015050174,"VIA CONIUGI PLUDA,10",017043,CASTENEDOLO,BS,,PRIVATA,,10.3022068,45.4741802,POINT (10.3022068 45.4741802)
326,001493,CDI C/O AZIENDA SPECIALE COMUNE DI CONCESIO,"VIA CESARE BATTISTI,72",017061,CONCESIO,25062,BS,15,15,690762,RSA  CONCESIO  AZIENDA SPECIALE,02248580983,02248580983,"VIA CESARE BATTISTI,72",017061,CONCESIO,BS,,PUBBLICA,,10.218802,45.6092069,POINT (10.218802 45.6092069)
324,015921,CDI FONDAZIONE GIUSEPPE BESANA ONLUS,"VIA LUIGI RHO,4/6",108030,MEDA,20821,MB,30,30,690610,FONDAZIONE GIUSEPPE BESANA ONLUS,00746390962,03273050157,"VICOLO LUIGI RHO,4/6",108030,MEDA,MB,FONDAZIONE,PRIVATA,SI,9.1604627,45.6664544,POINT (9.1604627 45.6664544)
327,001828,CDI FONDAZIONE OSPEDALE CAIMI ONLUS,"VIA MARTIRI DELLA LIBERTA',10",019112,VAILATE,26019,CR,40,40,690711,FONDAZIONE OSPEDALE CAIMI - ONLUS,00305030199,00305030199,"VIA CAIMI,21",019112,VAILATE,CR,FONDAZIONE,PRIVATA,SI,9.60346,45.46287,POINT (9.60346 45.46287)
326,001566,CDI C/O LA RSA PAOLO VI ONLUS,"VIA ACHILLE PEDROCCA,7",017009,BAGNOLO MELLA,25021,BS,20,20,690781,FONDAZIONE CASA DI RIPOSO - R.S.A. PAOLO VI ONLUS,00603240987,01121330177,"VIA ACHILLE PEDROCCA,7",017009,BAGNOLO MELLA,BS,FONDAZIONE,PRIVATA,SI,10.1794849,45.4327194,POINT (10.1794849 45.4327194)
328,097466,CENTRO DIURNO INTEGRATO ARCOBALENO PARC,"VIA DEGLI ONTANI,2",018137,SAN MARTINO SICCOMARIO,27028,PV,15,15,166072,COOPERATIVA SOCIALE F.A.I. PONTEVECCHIO S.P.A.,01830880181,01830880181,"VIA DEGLI ONTANI,2",018137,SAN MARTINO SICCOMARIO,PV,SOCIETA' COOPERATIVA DI SOLIDARIETA' SOCIALE,PRIVATA,NO,9.13755,45.16028,POINT (9.13755 45.16028)
328,002158,"""CDI """"FONDAZIONE CONTE CELLA DI RIVARA""""""","LOCALITA' RILE,3",018005,ARENA PO,27040,PV,40,40,690840,FONDAZIONE CONTE FRANCO CELLA DI RIVARA ONLUS,01331740181,84003740184,"VIA EMILIA,328",018024,BRONI,PV,FONDAZIONE,PRIVATA,NO,9.36179,45.09393,POINT (9.36179 45.09393)
326,001751,CDI SAN PANCRAZIO,"VIA LUNGO OGLIO CESARE BATTISTI,17",017133,PALAZZOLO SULL'OGLIO,25036,BS,15,15,692294,COOPERATIVA SOCIALE P.A.E.S.E. ONLUS,02289620169,95048590160,"VIA LEVADELLO,8/A",017133,PALAZZOLO SULL'OGLIO,BS,,PRIVATA,,9.8841,45.60045,POINT (9.8841 45.60045)
325,001401,FONDAZIONE SAN GIUSEPPE,"VIALE ANTONIO LOCATELLI,6",016091,DALMINE,24044,BG,10,10,690506,UNIVERSIIS SOCIETA' COOPERATIVA SOCIALE,01818390302,01818390302,"VIA CIVIDINA,41/A",030129,UDINE,UD,SOCIETA' COOPERATIVA DI SOLIDARIETA' SOCIALE,PRIVATA,SI,9.60402003,45.64695998,POINT (9.60402003 45.64695998)
328,002144,CDI RESIDENZA PER ANZIANI FONDAZIONE SACCHI,"VIA DON DAVIDE ALBERTARIO,20",018063,FILIGHERA,27010,PV,22,22,690492,PII ISTITUTI UNIFICATI,00478980188,00478980188,"PIAZZALE MONSIGNOR BATTISTA CLERICI,6",018013,BELGIOIOSO,PV,ENTE MORALE DI DIRITTO PRIVATO,PRIVATA,NO,9.31739,45.17694,POINT (9.31739 45.17694)
321,000134,CDI RESIDENZA DI QUARTIERE A. PUNTURIERE,"VIA GUGLIELMO MARCONI,48",015077,CINISELLO BALSAMO,20092,MI,30,30,691739,IL TORPEDONE SOCIETA' COOPERATIVA SOCIALE - ONLUS,02406760963,02406760963,"VIA PABLO PICASSO,40854",015077,CINISELLO BALSAMO,MI,,PRIVATA,,9.201038,45.5516103,POINT (9.201038 45.5516103)
324,001177,CDI LE SOLEIL,"STRADA VICINALE CASSINA BONSAGLIO,60",108039,SEREGNO,20831,MB,30,30,691747,COOPERATIVA SOCIALE EDEN S.R.L. O.N.L.U.S.,03010390965,03010390965,"STRADA VICINALE CASSINA BONSAGLIO,60",108039,SEREGNO,MB,,PRIVATA,,9.2111564,45.637412,POINT (9.2111564 45.637412)
325,001299,FONDAZIONE S. ANTONIO ONLUS,"VIA GIAN BATTISTA GAVAZZENI,22",016178,RANICA,24020,BG,,30,691758,FONDAZIONE S. ANTONIO ONLUS,03129390161,80027470162,"VIA GIAN BATTISTA GAVAZZENI,22",016178,RANICA,BG,,PRIVATA,,9.71579,45.72766,POINT (9.71579 45.72766)
325,001305,CDI CAPROTTI ZAVARITT,"VIA ARNO,14",016115,GORLE,24020,BG,30,30,690457,ISTITUTO CASA DI RIPOSO CAPROTTI ZAVARITT,01567280167,01567280167,"VIA ARNO,14",016024,BERGAMO,BG,,PRIVATA,,9.71979,45.70721,POINT (9.71979 45.70721)
326,001576,CDI C/O FONDAZIONE INSIEME TRENZANO ONLUS,"PIAZZA DEL VOLONTARIO,1",017190,TRENZANO,25030,BS,40,30,690540,GENESI IMPRESA SOCIALE SOCIETA' COOPERATIVA SOCIALE ONLUS,03480310170,03480310170,"VIA BILINE,74/76",017163,RODENGO SAIANO,BS,,PRIVATA,,10.01398,45.47631,POINT (10.01398 45.47631)
326,001561,C.D.I SUOR SCOLASTICA C/O FONDAZIONE DI CURA CITTA' DI GARDONE VALTROMPIA ONLUS,"VIA GIUSEPPE PARINI,14",017075,GARDONE VAL TROMPIA,25063,BS,25,15,690732,FONDAZIONE DI CURA CITTA' DI GARDONE VT - ONLUS,00724930987,83000650172,"VIA GIUSEPPE PARINI,14",017075,GARDONE VAL TROMPIA,BS,,PRIVATA,,10.1836156,45.6774854,POINT (10.1836156 45.6774854)
328,002225,CDI ASILO GAMBARANA,"VIA ASILO GAMBARANA,19",018040,CASTELNOVETTO,27030,PV,15,15,732588,ALE.MAR. COOPERATIVA SOCIALE ONLUS,01956990186,01956990186,"VIA ROCCA VECCHIA,1",018177,VIGEVANO,PV,SOCIETA' COOPERATIVA DI SOLIDARIETA' SOCIALE,PRIVATA,SI,8.61325,45.25301,POINT (8.61325 45.25301)
328,003540,"""CDI """"FRANCESCO PERTUSATI""""""","VIALE GIACOMO MATTEOTTI,63",018110,PAVIA,27100,PV,12,12,690361,ISTITUZIONI ASSISTENZIALI RIUNITE DI PAVIA - AZIENDA DI SERVIZI ALLA PERSONA,02030350181,02030350181,"VIALE GIACOMO MATTEOTTI,63",018110,PAVIA,PV,AZIENDA DI SERVIZI ALLA PERSONA (ASP),PUBBLICA,NO,9.15258,45.19033,POINT (9.15258 45.19033)
326,001510,CDI C/O FONDAZIONE LUCINI CANTU' ONLUS,"VIA SAN MARTINO DELLA BATTAGLIA,23",017166,ROVATO,25038,BS,20,15,690548,FONDAZIONE LUCINI CANTU' ONLUS,00724560982,82001610177,"VIA SAN MARTINO DELLA BATTAGLIA,21",017166,ROVATO,BS,FONDAZIONE,PRIVATA,SI,10.00125,45.56267,POINT (10.00125 45.56267)
324,001105,CENTRO DIURNO INTEGRATO,"VIA GEROLAMO BESTETTI,6",108049,VILLASANTA,20852,MB,20,20,730763,COMUNE DI VILLASANTA,00745580969,03245720150,"PIAZZA MARTIRI DELLA LIBERTA',7",097023,COLICO,LC,,PUBBLICA,,9.2999941,45.6033798,POINT (9.2999941 45.6033798)
328,002015,CDI VILLA FLAVIA,"VIALE LODI,47",018110,PAVIA,27100,PV,30,30,170592,OVER TICINUM SRL,11632820962,11632820962,"VIA CAPPUCCINI,4",015146,MILANO,MI,SOCIETA' A RESPONSABILITA' LIMITATA,PRIVATA,NO,9.18742,45.18836,POINT (9.18742 45.18836)
322,000832,"""CDI """"FONDAZIONE BELLORA ONLUS""""""","PIAZZA GIOVANE ITALIA,1",012070,GALLARATE,21013,VA,20,20,690727,FONDAZIONE BELLORA ONLUS,01837120128,82005470123,"PIAZZA GIOVANE ITALIA,1",012070,GALLARATE,VA,,PRIVATA,,8.79051,45.65607,POINT (8.79051 45.65607)
327,001854,CDI ALZHEIMER,"PIAZZA LIBERTA',2",019099,SOSPIRO,26048,CR,20,20,691264,ISTITUTO OSPEDALIERO DI SOSPIRO - ONLUS,00385470190,80004030195,"PIAZZA LIBERTA',2",019099,SOSPIRO,CR,FONDAZIONE,PRIVATA,NO,10.15735,45.10614,POINT (10.15735 45.10614)
326,001623,CDI RICHIEDEI,"VIA PAOLO RICHIEDEI,16",017081,GUSSAGO,25064,BS,28,28,690573,IL GABBIANO SOCIETA' COOPERATIVA SOCIALE ONLUS,00722770989,03043390172,"VIA ABATE CREMONESINI,6/8",017149,PONTEVICO,BS,,PRIVATA,,10.15327,45.58965,POINT (10.15327 45.58965)
326,001740,CDI MARIA CAVALLI BENDISCIOLI,"VIA GIUSEPPE VERDI,10",017136,PASSIRANO,25050,BS,19,19,690677,DON AMBROGIO CACCIAMATTA - FRATELLI GUERINI ONLUS,03595720172,80016110175,"VIA PER ROVATO,13/D",017085,ISEO,BS,,PRIVATA,,10.0570626,45.6024835,POINT (10.0570626 45.6024835)
321,000046,CDI CASA FAMIGLIA PER ANZIANI MONS. CARLO TESTA,"VIA GENERALE CARLO ALBERTO DALLA CHIESA,43",015081,COLOGNO MONZESE,20093,MI,40,40,690715,FONDAZIONE MANTOVANI ONLUS,11779830154,11779830154,"VIA FILIPPO TURATI,37",015007,ARCONATE,MI,,PRIVATA,,9.2876,45.53288,POINT (9.2876 45.53288)
326,001674,CDI C/O FONDAZIONE CASA DI RIPOSO G.B. VALOTTI ONLUS,"VIA GIOACHINO ROSSINI,3",017086,ISORELLA,25010,BS,15,10,690437,FONDAZIONE CASA DI RIPOSO G.B. VALOTTI - ONLUS,00582390985,00851720177,"VIA GIOACHINO ROSSINI,3",017086,ISORELLA,BS,,PRIVATA,,10.328167,45.3075937,POINT (10.328167 45.3075937)
324,006038,POLO FRASSONI,"VIA GORIZIA,2",097042,LECCO,23900,LC,40,40,691775,L'ARCOBALENO SOCIETA' COOPERATIVA SOCIALE - ONLUS,01461770131,01461770131,"VIALE FILIPPO TURATI,117",097042,LECCO,LC,SOCIETA' COOPERATIVA DI SOLIDARIETA' SOCIALE,PRIVATA,SI,9.39458,45.86457,POINT (9.39458 45.86457)
326,001703,CDI DR ALBERTO ARCHETTI,"VIA CASA DI RIPOSO,1",017038,CAPRIOLO,25031,BS,15,15,690806,FONDAZIONE CASA DI RIPOSO DI CAPRIOLO DON GAUDENZIO MARTINAZZOLI - CENTRO POLIVALENTE DI SERVIZI PER ANZIANI,00984260174,00984260174,"VIA CASA DI RIPOSO,1",017038,CAPRIOLO,BS,FONDAZIONE,PRIVATA,NO,9.9335355,45.6428174,POINT (9.9335355 45.6428174)
327,001779,CENTRO DIURNO INTEGRATO IL SOLE,"VIA OSPEDALE VECCHIO,18",020066,VIADANA,46019,MN,20,20,690520,ISTITUTO  GERIATRICO CARLO  LOUISA GRASSI ONLUS,01371940204,83000730206,"VIA OSPEDALE VECCHIO,16",020066,VIADANA,MN,,PRIVATA,,10.52189145,44.93096078,POINT (10.52189145 44.93096078)
325,001402,SANDRO PERTINI,"VIA PIER LUIGI SANGALLI,80",016006,ALMENNO SAN BARTOLOMEO,24030,BG,40,40,104064,COOPERATIVA SOCIALE SAN NICOLO' - SOCIETA' COOPERATIVA SOCIALE,01665720163,01665720163,VIA PIO MANZU',016006,ALMENNO SAN BARTOLOMEO,BG,SOCIETA' COOPERATIVA DI SOLIDARIETA' SOCIALE,PRIVATA,SI,9.5799779,45.737372,POINT (9.5799779 45.737372)
321,000668,LA CORTE,"VIA ENRICO FERMI,39",015237,VIGNATE,20052,MI,40,40,104064,COOPERATIVA SOCIALE SAN NICOLO' - SOCIETA' COOPERATIVA SOCIALE,01665720163,01665720163,VIA PIO MANZU',016006,ALMENNO SAN BARTOLOMEO,BG,SOCIETA' COOPERATIVA DI SOLIDARIETA' SOCIALE,PRIVATA,SI,9.379767,45.5000706,POINT (9.379767 45.5000706)
321,084668,CDI SENAGO,"VIA FALLACI ORIANA,10",015206,SENAGO,20030,MI,30,30,137308,GRUPPO GHERON SRL,01574550339,01574550339,"VIA ARCHIMEDE,57",015146,MILANO,MI,,PRIVATA,,9.12607,45.57893,POINT (9.12607 45.57893)
325,001301,CDI PIATTI VENANZI,"VIA SANTA MARIA ELISABETTA,36",016157,PALOSCO,24050,BG,15,15,690568,CASA DI RIPOSO PIATTI-VENANZI FONDAZIONE O.N.L.U.S.,03118770167,83001590161,"VIA SANTA MARIA ELISABETTA,36",016157,PALOSCO,BG,,PRIVATA,,9.8392552,45.582323,POINT (9.8392552 45.582323)
325,001447,"""CDI """"MADONNA DEL BOLDESICO""""""","VIA DOTTORE LIBERO SIGNORELLI,91/93",016120,GRUMELLO DEL MONTE,24064,BG,40,40,690661,FONDAZIONE MADONNA DEL BOLDESICO O.N.L.U.S.,02629370160,80013970167,"VIA DOTTORE LIBERO SIGNORELLI,91/93",016120,GRUMELLO DEL MONTE,BG,,PRIVATA,,9.8833817,45.6442092,POINT (9.8833817 45.6442092)
