COD_ASL,COD_STRUTTURA,DENOM_STRUTTURA,INDIRIZZO_UBICAZIONE,COD_ISTAT_COMUNE_UBICAZIONE,COMUNE_UBICAZIONE,CAP,PROV_COMUNE_UBICAZIONE,TOT_POSTI_AUTORIZZATI,TOT_POSTI_ACCREDITATI,COD_GESTORE,DENOM_GESTORE,P_IVA,COD_FISCALE_GESTORE,INDIRIZZO_SEDE_LEGALE,COD_ISTAT_COMUNE_SEDE_LEGALE,COMUNE_SEDE_LEGALE,PROV_SEDE_LEGALE,NATURA_GIURIDICA,PUBBLICA_PRIVATA,ONLUS,WGS84_X,WGS84_Y,LOCATION
322,000783,CDI CASA DELL'OSPITALITA',"PIAZZALE FRATELLI KENNEDY,12",012133,VARESE,21100,VA,30,30,691743,COMUNE DI VARESE,00441340122,00441340122,"VIA LUIGI SACCO,4",012133,VARESE,VA,,PUBBLICA,,8.83348153,45.81792285,POINT (8.83348153 45.81792285)
325,001228,CDI SAN DONATO,"VIA CAMILLO BENSO DI CAVOUR,6/A",016153,OSIO SOTTO,24046,BG,40,40,690238,SAN DONATO SRL,03084250160,03084250160,"VIA CAMILLO BENSO DI CAVOUR,6/A",016153,OSIO SOTTO,BG,,PRIVATA,,9.5936939,45.6173761,POINT (9.5936939 45.6173761)
325,001373,CDI MARIA LUISA GUERINONI,"PIAZZA VITTORIO VENETO,3",016093,ENDINE GAIANO,24060,BG,25,25,692294,COOPERATIVA SOCIALE P.A.E.S.E. ONLUS,02289620169,95048590160,"VIA LEVADELLO,8/A",017133,PALAZZOLO SULL'OGLIO,BS,,PRIVATA,,9.97255,45.7924,POINT (9.97255 45.7924)
322,002835,CDI C/O RSA DON A. POZZOLI,"VIA ROMA,4",013042,CANZO,22035,CO,20,20,690803,"""FONDAZIONE R.S.A. """"DON A. POZZOLI"""" ONLUS""",00643020134,00643020134,"VIA ROMA,4",013042,CANZO,CO,,PRIVATA,,9.2725512,45.8497106,POINT (9.2725512 45.8497106)
327,004724,CENTRO DIURNO INTEGRATO LUIGI BONI,"VIALE LUIGI CADORNA,4",020065,SUZZARA,46029,MN,23,23,690557,FONDAZIONE LUIGI BONI ONLUS,01571920204,82002170205,"VIALE LUIGI CADORNA,4",020065,SUZZARA,MN,,PRIVATA,,10.7435041,44.9879518,POINT (10.7435041 44.9879518)
321,000091,CDI IL GIRASOLE,"VIALE ALEXANDER FLEMING,2/4",098010,CASALPUSTERLENGO,26841,LO,40,40,691090,AZIENDA SPECIALE DI SERVIZI CASALPUSTERLENGO (RSA ANGELICA VITTADINI TERZAGHI),11824270158,11824270158,"VIALE ALEXANDER FLEMING,2",098010,CASALPUSTERLENGO,LO,,PUBBLICA,,9.6502931,45.16923961,POINT (9.6502931 45.16923961)
327,001906,CENTRO DIURNO INTEGRATO DI ASOLA,"STRADA I,SNC",020002,ASOLA,46041,MN,20,20,690846,FONDAZIONE CASA DI RIPOSO DI ASOLA O.N.L.U.S. CENTRO SERVIZI PER GLI ANZIANI NON AUTOSUFFICIENTI E PER LE PERSONE IN DIFFICOLTA',01378680209,81000830208,"VIA PARMA,14",020002,ASOLA,MN,,PRIVATA,,10.4191575,45.219146,POINT (10.4191575 45.219146)
323,000909,CDI FONDAZIONE NINJ BECCAGUTTI ESINE,"VIA CHIOSI,3/B",017070,ESINE,25040,BS,5,5,691341,FONDAZIONE ONLUS NINJ BECCAGUTTI,01857970980,81003470176,"VIA CHIOSI,3 B",017070,ESINE,BS,,PRIVATA,,10.2539536,45.923876,POINT (10.2539536 45.923876)
321,000236,"""CDI """"EIN KAREM""""""","VIA GADAMES,47",015166,PADERNO DUGNANO,20037,MI,40,40,691755,CAF DUE SOCIETA' COOPERATIVA SOCIALE - ONLUS,00880010962,07950790159,"VIA GADAMES,47",015166,PADERNO DUGNANO,MI,SOCIETA' COOPERATIVA DI SOLIDARIETA' SOCIALE,PRIVATA,SI,9.15852,45.55685,POINT (9.15852 45.55685)
324,003571,CDI CENTRO DIURNO ALZHEIMER CASCINA SAN PAOLO,"VIA DELLA GALLARANA,48",108033,MONZA,20900,MB,30,30,691746,COOPERATIVA SOCIALE NUOVO SOLCO - ONLUS,02945000962,02945000962,"VIA MOLISE,13",108033,MONZA,MB,,PRIVATA,,9.29783,45.58654,POINT (9.29783 45.58654)
328,002159,"""CDI """"FONDAZIONE MARZOTTO""""""","VIA LOMELLINA,52",018102,MORTARA,27036,PV,10,10,690606,FONDAZIONE MARZOTTO,00168200244,85000690249,"VIA GAETANO MARZOTTO,3",024111,VALDAGNO,VI,,PRIVATA,,8.74428,45.24655,POINT (8.74428 45.24655)
326,001709,CDI C/O LA RSA CASA DI SOGGIORNO PER ANZIANI,"VIA SONVIGO,22",017014,BEDIZZOLE,25081,BS,20,20,690491,FONDAZIONE CASA DI SOGGIORNO PER ANZIANI - ONLUS,00804850980,84001410178,"VIA SONVIGO,22",017014,BEDIZZOLE,BS,,PRIVATA,,10.4316265,45.5094289,POINT (10.4316265 45.5094289)
322,000744,"CDI ""IL CENTRO S.R.L. IMPRESA SOCIALE""","VIA I MAGGIO,10",012096,MALNATE,21046,VA,25,25,157092,IL CENTRO S.R.L. - IMPRESA SOCIALE,03727870127,03727870127,"VIA I MAGGIO,10",012096,MALNATE,VA,,PRIVATA,,8.88172,45.80235,POINT (8.88172 45.80235)
328,002172,CDI PII ISTITUTI UNIFICATI,"PIAZZALE MONSIGNOR BATTISTA CLERICI,6",018013,BELGIOIOSO,27011,PV,40,40,690492,PII ISTITUTI UNIFICATI,00478980188,00478980188,"PIAZZALE MONSIGNOR BATTISTA CLERICI,6",018013,BELGIOIOSO,PV,ENTE MORALE DI DIRITTO PRIVATO,PRIVATA,NO,9.31378999,45.15674,POINT (9.31378999 45.15674)
323,000945,CDI FONDAZIONE ANGELO MAJ ETS,"VIA GALILEO GALILEI,16",017065,DARFO BOARIO TERME,25047,BS,25,25,691324,RESIDENZA ANGELO MAJ FONDAZIONE ONLUS,00723500989,81001070176,"VIA GALILEO GALILEI, 16",017065,DARFO BOARIO TERME,BS,FONDAZIONE,PRIVATA,NO,10.1815269,45.892935,POINT (10.1815269 45.892935)
321,004725,CDI CASCINA DEL RONCO,"VIA VIGNA DEL RONCO,SNC",015169,PAULLO,20067,MI,30,30,690770,COOPERATIVA SOCIALE RIEDUCAZIONE MOTORIA ONLUS,08029590158,08029590158,"VIA TRENNO,41",015146,MILANO,MI,,PRIVATA,,9.3996027,45.419655,POINT (9.3996027 45.419655)
323,000946,CDI FONDAZIONE GIOVANNINA RIZZIERI ETS,"VIA NAZIONALE,45",017206,PIANCOGNO,25052,BS,15,20,690574,FONDAZIONE GIOVANNINA RIZZIERI ONLUS,00723890984,81005270178,"VIA NAZIONALE,45",017206,PIANCOGNO,BS,FONDAZIONE,PRIVATA,NO,10.2195423,45.9171875,POINT (10.2195423 45.9171875)
324,001132,CDI IL SOLE,"VIA LIPARI,7",108033,MONZA,20900,MB,20,20,690602,FONDAZIONE DON ANGELO BELLANI - ONLUS,00987520962,85005130159,"VIA LIPARI,7",108033,MONZA,MB,,PRIVATA,,9.25049,45.57143,POINT (9.25049 45.57143)
327,001945,"""CDI """"FIORELLA""""""","VIA GIOVANNI ROMANI,52",019021,CASALMAGGIORE,26041,CR,25,25,690459,FONDAZIONE CONTE CARLO BUSI ONLUS,01322210194,01322210194,"VIA ALDO FORMIS, 4",019021,CASALMAGGIORE,CR,FONDAZIONE,PRIVATA,NO,10.415348,44.9909392,POINT (10.415348 44.9909392)
321,000529,CDI DI BUCCINASCO,"VIALE LOMELLINA,10/2",015036,BUCCINASCO,20090,MI,40,40,691786,COMUNE DI BUCCINASCO,03482920158,03482920158,"VIA ROMA,2",015036,BUCCINASCO,MI,,PUBBLICA,,9.1211614,45.4190302,POINT (9.1211614 45.4190302)
327,001956,CDI C/O OSPEDALE DELLA CARITA',"VIA GUGLIELMO MARCONI,1",019016,CASALBUTTANO ED UNITI,26011,CR,30,30,690683,FONDAZIONE OSPEDALE DELLA CARITA ONLUS,00871140190,83000810198,"VIA GUGLIELMO MARCONI,1",019016,CASALBUTTANO ED UNITI,CR,,PRIVATA,,9.9625284,45.2484418,POINT (9.9625284 45.2484418)
326,093023,MARIA ANTONIETTA MARINI,"VIA UMBERTO I,103",017072,FLERO,25020,BS,25,25,731734,LA RONDINE - SOCIETA' COOPERATIVA SOCIALE ONLUS,01486880170,01486880170,"VIALE GIUSEPPE MAZZINI,85",017107,MAZZANO,BS,,PRIVATA,,10.1737189,45.4840388,POINT (10.1737189 45.4840388)
322,000833,PINETA,"VIA MONTE NEVOSO,12",012127,TRADATE,21049,VA,25,25,691715,PRO.GES. - SOCIETA' COOPERATIVA SOCIALE,01534890346,01534890346,"VIA COLORNO,63",034027,PARMA,PR,,PRIVATA,,8.8991536,45.721693,POINT (8.8991536 45.721693)
328,002171,"""CDI PRESSO RSA """"ISTITUTO DE RODOLFI""""""","VIA BRAMANTE,4",018177,VIGEVANO,27029,PV,40,40,691720,AZIENDA SPECIALE MULTISERVIZI VIGEVANO,01968970184,01968970184,"VIA BRAMANTE,4",018177,VIGEVANO,PV,,PUBBLICA,,8.84895259,45.31507283,POINT (8.84895259 45.31507283)
327,001838,CDI CASTELVERDE,"VIA MONSIGNORE PIETRO GARDINALI,15",019026,CASTELVERDE,26022,CR,12,12,690765,FONDAZIONE OPERA PIA SANTISSIMO REDENTORE - ONLUS,00867950198,80004230191,"VIA MONSIGNORE PIETRO GARDINALI,15",019026,CASTELVERDE,CR,,PRIVATA,,9.9961439,45.1877113,POINT (9.9961439 45.1877113)
321,000497,IL NAVIGLIO,"VIA ALZAIA TRENTO,1",015093,CORSICO,20094,MI,40,40,137308,GRUPPO GHERON SRL,01574550339,01574550339,"VIA ARCHIMEDE,57",015146,MILANO,MI,,PRIVATA,,9.120323,45.437482,POINT (9.120323 45.437482)
327,001976,CDI GIUSEPPE BONIZZI E VIRGINIA GUASCONI,"VIA DE' MARCHESCHI,9",019097,SONCINO,26029,CR,25,25,690516,FONDAZIONE R.S.A. DI SONCINO ONLUS,00923770192,83001010194,"LARGO CAPRETTI,2",019097,SONCINO,CR,,PRIVATA,,9.87433,45.39872,POINT (9.87433 45.39872)
326,001677,CDI C/O LA CASA DI RIPOSO PER ANZIANI DI BOTTICINO ONLUS,"VIA TITO SPERI,105",017023,BOTTICINO,25082,BS,15,15,690810,FONDAZIONE CASA DI RIPOSO PER ANZIANI DI BOTTICINO ONLUS,01790140170,80048980173,"VIA TITO SPERI,105",017023,BOTTICINO,BS,,PRIVATA,,10.3052448,45.5354147,POINT (10.3052448 45.5354147)
323,000959,"""CDI LA RONDINE""","VIA DEL LANICO,2",017100,MALEGNO,25053,BS,15,15,691784,PIA FONDAZIONE DI VALLECAMONICA ONLUS,01594690982,81002310175,"VIA DEL LANICO,2",017100,MALEGNO,BS,,PRIVATA,,10.27718,45.94589,POINT (10.27718 45.94589)
328,002010,CDI ASP CARLO PEZZANI,"VIALE DELLA REPUBBLICA,86",018182,VOGHERA,27058,PV,30,30,691447,A.S.P. CARLO PEZZANI,00990490187,86000150184,"VIALE DELLA REPUBBLICA,86",018182,VOGHERA,PV,,PUBBLICA,,9.0086207,44.9845356,POINT (9.0086207 44.9845356)
321,000635,CDI RESIDENZA DEL SOLE,"VIA GIAN LORENZO BERNINI,14",015077,CINISELLO BALSAMO,20092,MI,40,40,691836,RESIDENZE DEL SOLE CONSORZIO SOCIALE SOC. COOP.,08588070964,08588070964,"VIA GIAN LORENZO BERNINI,14",015077,CINISELLO BALSAMO,MI,CONSORZIO DI COOPERATIVE SOCIALI,PRIVATA,SI,9.2048868,45.5679284,POINT (9.2048868 45.5679284)
322,002869,"""CDI C/O RSA """"PORTA SPINOLA""""""","VIA SANTO STEFANO,28",013143,MARIANO COMENSE,22066,CO,25,25,690609,FONDAZIONE PORTA SPINOLA,02418440133,81008470130,"VIA SANTO STEFANO,28",013143,MARIANO COMENSE,CO,,PRIVATA,,9.176879,45.6968546,POINT (9.176879 45.6968546)
322,002773,PAPA GIOVANNI XXIII,"PIAZZA ALESSANDRO VOLTA,27",013227,TURATE,22078,CO,20,20,690471,SAN GIACOMO S.R.L.,02644040137,02644040137,"VIA ACCADEMIA,48",015146,MILANO,MI,,PRIVATA,,9.0019658,45.6546688,POINT (9.0019658 45.6546688)
321,000077,"""CDI C/O RSA """"MADRE TERESA DI CALCUTTA""""""","VIA CAMILLO BENSO CAVOUR,66",015151,MOTTA VISCONTI,20086,MI,15,15,690672,KCS CAREGIVER COOPERATIVA SOCIALE,02125100160,02125100160,"ROTONDA DEI MILLE,1",016024,BERGAMO,BG,,PRIVATA,,8.99953363,45.29012228,POINT (8.99953363 45.29012228)
327,001796,CDI C/O CASA DI RIPOSO ANTONIO ZUCCHI - MARIA FALCINA,"VIA ANTONIO GRAMSCI,7",019098,SORESINA,26015,CR,40,40,137308,GRUPPO GHERON SRL,01574550339,01574550339,"VIA ARCHIMEDE,57",015146,MILANO,MI,,PRIVATA,,9.8545901,45.2900083,POINT (9.8545901 45.2900083)
