"COD_ASL","COD_STRUTTURA","DENOM_STRUTTURA","INDIRIZZO_UBICAZIONE","COD_ISTAT_COMUNE_UBICAZIONE","COMUNE_UBICAZIONE","CAP","PROV_COMUNE_UBICAZIONE","TOT_POSTI_AUTORIZZATI","TOT_POSTI_ACCREDITATI","COD_GESTORE","DENOM_GESTORE","P_IVA","COD_FISCALE_GESTORE","INDIRIZZO_SEDE_LEGALE","COD_ISTAT_COMUNE_SEDE_LEGALE","COMUNE_SEDE_LEGALE","PROV_SEDE_LEGALE","PUBBLICA_PRIVATA","WGS84_Y","WGS84_X","FL_ACCREDITATA","Location"
"328","086008","RSA ARCOBALENO PARC","VIA DEGLI ONTANI,2","018137","SAN MARTINO SICCOMARIO","27.028","PV","120","120","166072","COOPERATIVA SOCIALE F.A.I. PONTEVECCHIO S.P.A.","01830880181","01830880181","VIA DEGLI ONTANI,2","018137","SAN MARTINO SICCOMARIO","PV","PRIVATA","45,152629","9,133269","SI","POINT (9.133269 45.152629)"
"322","002721","CASA DIVINA PROVVIDENZA OPERA DON GUANELLA","VIA TOMMASO GROSSI,18","013075","COMO","22.100","CO","108","100","691166","PROVINCIA ITALIANA DELLA CONGREGAZIONE DEI SERVI DELLA CARITA' - OPERA DON GUANELLA","01084241007","02595400587","VICOLO CLEMENTI,41","058091","ROMA","RM","PRIVATA","45,80936","9,09126","SI","POINT (9.09126 45.80936)"
"326","001595","RSA - FONDAZIONE ""VILLA FIORI"" RSA ONLUS","VIA BELCOLLE,17","017117","NAVE","25.075","BS","113","100","690581","FONDAZIONE ""VILLA FIORI"" RSA ONLUS","01823600174","80014450177","VIA BELCOLLE,17","017117","NAVE","BS","PRIVATA","45,58761","10,2777","SI","POINT (10.2777 45.58761)"
"327","001872","FONDAZIONE ULDERICO SABBADINI ONLUS","VIA GIUSEPPE GARIBALDI,36","020022","DOSOLO","46.030","MN","25","25","690429","FONDAZIONE ULDERICO SABBADINI ONLUS","01327120208","83001070206","VIA GIUSEPPE GARIBALDI,36","020022","DOSOLO","MN","PRIVATA","44,97781","10,64366","SI","POINT (10.64366 44.97781)"
"327","001944","FONDAZ. OSPED. G. ARAGONA IST. GER. E RIAB. ONLUS","VIA GRASSELLI BARNI,47","019090","SAN GIOVANNI IN CROCE","26.037","CR","65","65","691015","FONDAZIONE OSPEDALE GIUSEPPE ARAGONA ISTITUTO GERIATRICO E RIABILITATIVO ONLUS","00296100191","00296100191","VIA GRASSELLI BARNI,47","019090","SAN GIOVANNI IN CROCE","CR","PRIVATA","45,0756","10,38075","SI","POINT (10.38075 45.0756)"
"328","002168","DON VENTURA","VICOLO VENTURA,4","018168","VALLE LOMELLINA","27.020","PV","24","24","131148","WELFARE SERVZI","09688410969","09688410969","VIA PRIVATA CESARE BATTISTI,2","015146","MILANO","MI","PRIVATA","45,1519057","8,6629168","SI","POINT (8.6629168 45.1519057)"
"326","001477","RSA DI VIA C. BATTISTI N. 10 BARBARIGA","VIA CESARE BATTISTI,10","017011","BARBARIGA","25.030","BS","36","33","690650","FONDAZIONI RIUNITE ONLUS DELLA BASSA BRESCIANA OCCIDENTALE","00726090988","86000210178","VIA V.GAMBARA,20","017125","ORZINUOVI","BS","PRIVATA","45,40481","10,05699","SI","POINT (10.05699 45.40481)"
"324","083789","RSA LIMBIATE","VIA TRIESTE,129/A","108027","LIMBIATE","20.812","MB","120","120","137308","GRUPPO GHERON SRL","01574550339","01574550339","VIA ARCHIMEDE,57","015146","MILANO","MI","PRIVATA","45,5943361","9,1355252","SI","POINT (9.1355252 45.5943361)"
"321","090704","CASA FAMIGLIA DI ARCONATE","PIAZZA FALCONE E BORSELLINO,1","015007","ARCONATE","20.020","MI","76","76","177373","OPERA PIA CASTIGLIONI S.R.L.","07753450969","07753450969","VIA LEGNANO,10","015146","MILANO","MI","PRIVATA","45,54147","8,85193","SI","POINT (8.85193 45.54147)"
"321","000278","S. EDOARDO","PIAZZALE MONS.RIBONI,1","015226","TURBIGO","20.029","MI","80","80","690681","NUOVA ASSISTENZA- SOCIETA' COOPERATIVA SOCIALE ONLUS","01684780032","06902520011","VIA BAVENO,4","003106","NOVARA","NO","PRIVATA","45,529","8,73744","SI","POINT (8.73744 45.529)"
