id,aas,denominazione,indirizzo,n_civ,cap,citta,prov,telefono,tipologia,natura_giuridica,pl_tot,auto_n1,auto_n2,non_auto_n3,rm_auto,rm_non_auto,lat,longit,Georeferenziazione
110,Azienda Sanitaria Universitaria Friuli Centrale,'M. Stango Rodino',Via Bertagnolli,1,33030,Majano,UD,0432/948466,Primo livello,Pubblica comunale,81,47,11,23,45.2,52.3,46.182527,13.06931,POINT (13.06931 46.182527)
109,Azienda Sanitaria Universitaria Friuli Centrale,'Zaffiro Magnano',Via Cividina,56,33010,Magnano in Riviera,UD,0432/781222,Secondo livello,Privata di mercato,134,0,88,46,0,111.5,46.228342,13.177409,POINT (13.177409 46.228342)
108,Azienda Sanitaria Universitaria Friuli Centrale,ComunitÃ  alloggio anziani - Villanova 110,Fraz. Villanova delle Grotte,110,33010,Lusevera,UD,0432/787069,ComunitÃ  familiare,Privata sociale,13,13,0,0,26.67,0,46.252653,13.273239,POINT (13.273239 46.252653)
107,Azienda Sanitaria Universitaria Friuli Centrale,ComunitÃ  alloggio anziani - Pradielis 11/A,Fraz. Pradielis,11/A,33010,Lusevera,UD,0432/787024,ComunitÃ  familiare,Privata sociale,7,7,0,0,26.67,0,46.27896,13.260768,POINT (13.260768 46.27896)
106,Azienda Sanitaria Universitaria Friuli Centrale,ComunitÃ  alloggio anziani - Pradielis 11,Fraz. Pradielis,11,33010,Lusevera,UD,0432/787055 - 0432/787353,ComunitÃ  familiare,Privata sociale,13,13,0,0,26.67,0,46.279009,13.260412,POINT (13.260412 46.279009)
105,Azienda Sanitaria Universitaria Friuli Centrale,'Umberto I' - Latisana,Via Sabbionera,103,33053,Latisana,UD,0431/50202,Secondo livello,Pubblica ASP,56,0,0,56,53.5,103.47,45.767812,13.002649,POINT (13.002649 45.767812)
104,Azienda Sanitaria Universitaria Friuli Centrale,'Santa Maria degli Angeli',Largo Padre Gregorio Fioravanti,9,33013,Gemona del Friuli,UD,0432/898711 - 347/4291472,Personale religioso non autosufficiente,Privata ente religioso,40,0,0,0,0,66,46.279221,13.136706,POINT (13.136706 46.279221)
103,Azienda Sanitaria Universitaria Friuli Centrale,Residenza 'I Tigli',Via Santa Lucia,53,33013,Gemona del Friuli,UD,0432/971520,Secondo livello,Privata di mercato,60,0,0,60,111,111,46.2726293,13.1303138,POINT (13.1303138 46.2726293)
102,Azienda Sanitaria Universitaria Friuli Centrale,Casa di soggiorno per anziani di Gemona del Friuli,Via Croce del Papa,31,33013,Gemona del Friuli,UD,0432/972810,Secondo livello,Pubblica comunale,68,0,0,68,79,79,46.284352,13.134589,POINT (13.134589 46.284352)
101,Azienda Sanitaria Universitaria Friuli Centrale,'Zaffiro Fagagna',Via dei Colli,60,33034,Fagagna,UD,0432/811919,Terzo livello,Privata di mercato,120,0,0,120,0,118.5,46.11386,13.09371,POINT (13.09371 46.11386)
100,Azienda Sanitaria Universitaria Friuli Centrale,Residenza per anziani di Campeglio,Via Soffumbergo,19,33040,Faedis,UD,0432/711826 - 3460243720,Livello base,Privata sociale,24,0,24,0,0,80.33,46.130276,13.356608,POINT (13.356608 46.130276)
99,Azienda Sanitaria Universitaria Friuli Centrale,'Daniele Moro',Viale F. Duodo,80,33033,Codroipo,UD,0432/909311,Terzo livello,Pubblica ASP,129,0,0,129,0,99.8,45.96269,12.993413,POINT (12.993413 45.96269)
98,Azienda Sanitaria Universitaria Friuli Centrale,Casa per Anziani di Cividale del Friuli,Viale Trieste,42,33043,Cividale del Friuli,UD,0432/731048,Terzo livello,Pubblica ASP,233,0,0,233,71.2,96.2,46.086801,13.43529,POINT (13.43529 46.086801)
97,Azienda Sanitaria Universitaria Friuli Centrale,'La Villa Rosa',Via S. Zenone - Fraz. Muscoli,112,33052,Cervignano del Friuli,UD,0431/34744,Primo livello,Privata di mercato,41,0,23,18,70.69,80.5,45.83769,13.33127,POINT (13.33127 45.83769)
96,Azienda Sanitaria Universitaria Friuli Centrale,'Valentino Sarcinelli',Via Mercato,12,33052,Cervignano del Friuli,UD,0431/388530,Terzo livello,Pubblica comunale,87,0,0,87,48.24,95.15,45.825672,13.331022,POINT (13.331022 45.825672)
95,Azienda Sanitaria Universitaria Friuli Centrale,Residenza per anziani non autosufficienti di Buja,Via Ursinis Piccolo,2/23,33030,Buja,UD,0432/960192,Primo livello,Pubblica comunale,27,0,12,15,61.5,89.5,46.206878,13.119025,POINT (13.119025 46.206878)
94,Azienda Sanitaria Universitaria Friuli Centrale,ComunitÃ  alloggio di Attimis,Piazza Aldo Moro,11,33040,Attimis,UD,0432/789593,ComunitÃ  familiare,Privata sociale,10,10,0,0,52.5,0,46.188396,13.304524,POINT (13.304524 46.188396)
93,Azienda Sanitaria Universitaria Friuli Centrale,'Monsignor Nigris',Via della Maina,28,33021,Ampezzo,UD,0433/80970,Primo livello,Privata sociale,37,0,0,37,86.5,86.5,46.41426,12.80355,POINT (12.80355 46.41426)
92,Azienda Sanitaria Universitaria Friuli Centrale,'Casa Mafalda',Via Petrarca,30,33041,Aiello del Friuli,UD,0431/99081,Primo livello,Pubblica comunale,60,0,0,60,55.1,87.6,45.86884,13.36047,POINT (13.36047 45.86884)
91,Azienda Sanitaria Universitaria Friuli Centrale,Residenza 'Le Meridiane',Via Gioacchino Rossini,19/B,33041,Aiello del Friuli,UD,0431/99019,Terzo livello,Privata di mercato,118,0,0,118,111,111,45.8723891,13.668336,POINT (13.668336 45.8723891)
90,Azienda Sanitaria Universitaria Giuliano Isontina,Centro demenze e Alzheimer 'Argo',Via Trieste,71,34075,San Canzian D'Isonzo,GO,0481/76409,Primo livello,Pubblica Comunale,13,0,0,13,0,139.61,45.798161,13.46894,POINT (13.46894 45.798161)
89,Azienda Sanitaria Universitaria Giuliano Isontina,Residenza 'Mimosa',Via Roma,46,34075,San Canzian D'Isonzo,GO,0481/767245,Secondo livello,Privata di mercato,60,0,0,60,0,111,45.8115128,13.4438311,POINT (13.4438311 45.8115128)
88,Azienda Sanitaria Universitaria Giuliano Isontina,Residenza 'Corradini',Via D'Annunzio,14,34077,Ronchi dei Legionari,GO,0481-477170,Secondo livello,Pubblica Comunale,66,0,1,65,0,104.96,45.827031,13.502987,POINT (13.502987 45.827031)
87,Azienda Sanitaria Universitaria Giuliano Isontina,Casa Fider Monfalcone,Via Pietro Blaserna,12,34074,Monfalcone,GO,0481/412983,Primo livello,Privata di mercato,30,0,13,17,80,103.5,45.810432,13.532445,POINT (13.532445 45.810432)
86,Azienda Sanitaria Universitaria Giuliano Isontina,Residenza per anziani Monfalcone,Via Crociera,14,34074,Monfalcone,GO,0481/494906,Terzo livello,Pubblica comunale,120,0,0,120,0,78,45.801775,13.523363,POINT (13.523363 45.801775)
85,Azienda Sanitaria Universitaria Giuliano Isontina,'Casa Serena' - Grado,Viale Papa Giovanni XXIII,40,34073,Grado,GO,0431/1868011,Terzo livello,Pubblica comunale,115,0,0,115,75,75,45.680043,13.392674,POINT (13.392674 45.680043)
84,Azienda Sanitaria Universitaria Giuliano Isontina,'Osiride Brovedani',Via Eulambio,3,34072,Gradisca D'Isonzo,GO,0481/967522,Alberghiera,Privata sociale,98,98,0,0,0,0,45.895162,13.495557,POINT (13.495557 45.895162)
83,Azienda Sanitaria Universitaria Giuliano Isontina,Residenza 'San Salvatore',Via della Campagnola,13,34072,Gradisca D'Isonzo,GO,0481/967940,Primo livello,Pubblica comunale,32,0,0,32,48,80.5,45.890357,13.502141,POINT (13.502141 45.890357)
82,Azienda Sanitaria Universitaria Giuliano Isontina,'De Gressi' (SOSPESA),Via Cosolo,19,34070,Fogliano Redipuglia,GO,0434/504018,Livello base,Pubblica Comunale,18,10,8,0,0,0,45.867171,13.483195,POINT (13.483195 45.867171)
81,Azienda Sanitaria Universitaria Giuliano Isontina,'La Cjase',Viale Venezia Giulia,74,34071,Cormons,GO,0481/60485,Secondo livello,Pubblica comunale,49,0,0,49,49.5,72,45.96015,13.462078,POINT (13.462078 45.96015)
80,Azienda Sanitaria Universitaria Giuliano Isontina,'Rosa Mistica',Largo S. Luigi Scrosoppi,2,34071,Cormons,GO,0481/60157 - 0481/61881,Terzo livello,Privata ente religioso,99,0,0,99,0,95.5,45.957779,13.471685,POINT (13.471685 45.957779)
79,Azienda Sanitaria Universitaria Giuliano Isontina,'Domus Mariae SS. Reginae',Corso Italia,120,34170,Gorizia,GO,0481/533888,ComunitÃ  familiare,Privata ente religioso,14,14,0,0,42,0,45.939678,13.614343,POINT (13.614343 45.939678)
78,Azienda Sanitaria Universitaria Giuliano Isontina,Villa San Vincenzo De' Paoli,Via della Bona,15,34170,Gorizia,GO,0481/531546,Alberghiera,Privata sociale,68,68,0,0,54,66.5,45.937153,13.62266,POINT (13.62266 45.937153)
77,Azienda Sanitaria Universitaria Giuliano Isontina,'Sacra Famiglia',Via Don Bosco,66,34170,Gorizia,GO,0481/530341,Alberghiera,Privata ente religioso,20,20,0,0,47,0,45.953879,13.61736,POINT (13.61736 45.953879)
76,Azienda Sanitaria Universitaria Giuliano Isontina,Residenza 'Angelo Culot',Via Brigata Re,31,34170,Gorizia,GO,0481/390701,Secondo livello,Pubblica comunale,60,0,0,60,40.3,90.5,45.936228,13.580486,POINT (13.580486 45.936228)
75,Azienda Sanitaria Universitaria Giuliano Isontina,'Villa San Giusto',Corso Italia,244,34170,Gorizia,GO,0481/596911,Terzo livello,Privata ente religioso,200,0,0,200,0,96,45.936971,13.610597,POINT (13.610597 45.936971)
74,Azienda Sanitaria Universitaria Giuliano Isontina,'Villa Verde',Loc. Santa Croce,12,34011,Duino Aurisina,TS,040/220813,Secondo livello,Privata di mercato,54,0,0,54,75.35,95.3,45.736558,13.692685,POINT (13.692685 45.736558)
73,Azienda Sanitaria Universitaria Giuliano Isontina,'Fiori del Carso',Viale Stazione,26/A,34011,Duino Aurisina,TS,040/3784300,Terzo livello,Privata di mercato,81,0,0,81,86,99.5,45.751514,13.686476,POINT (13.686476 45.751514)
72,Azienda Sanitaria Universitaria Giuliano Isontina,'F.lli Stuparich',Borgo San Mauro,132,34011,Duino Aurisina,TS,040/2017461-462,Secondo livello,Pubblica comunale,78,0,30,48,77.4,77.4,45.766972,13.641503,POINT (13.641503 45.766972)
71,Azienda Sanitaria Universitaria Giuliano Isontina,'Hotel Fernetti',Loc. Fernetti,3/A,34016,Trieste,TS,040/3726410,Secondo livello,Privata di mercato,64,0,8,56,95,115.5,45.698573,13.831253,POINT (13.831253 45.698573)
70,Azienda Sanitaria Universitaria Giuliano Isontina,Residenza 'Brioni',Loc. Lazzaretto,4,34015,Muggia,TS,040/271730,Primo livello,Privata di mercato,47,0,7,40,83,85,45.600571,13.724118,POINT (13.724118 45.600571)
69,Azienda Sanitaria Universitaria Giuliano Isontina,Casa di riposo comunale di Muggia,Salita Ubaldini,5,34015,Muggia,TS,040/3360350 - 352,Secondo livello,Pubblica comunale,64,0,23,41,0,79.6,45.602404,13.765795,POINT (13.765795 45.602404)
67,Azienda Sanitaria Universitaria Giuliano Isontina,'Villa Iris',Loc. Log,194,34018,San Dorligo della Valle - Dolina,TS,040/8323666,Primo livello,Privata di mercato,25,0,0,25,87,101.5,45.621147,13.836495,POINT (13.836495 45.621147)
64,Azienda Sanitaria Universitaria Giuliano Isontina,'Sacro Cuore',Via del Cerreto,2,34136,Trieste,TS,040/410096,ComunitÃ  familiare,Privata ente religioso,12,12,0,0,47.67,0,45.678818,13.756649,POINT (13.756649 45.678818)
63,Azienda Sanitaria Universitaria Giuliano Isontina,'Oasis 2',Via Machiavelli,13,34132,Trieste,TS,040/367063,Livello base,Privata di mercato,18,0,18,0,66.66,66.66,45.652464,13.773203,POINT (13.773203 45.652464)
61,Azienda Sanitaria Universitaria Giuliano Isontina,'Domus Mariae',Via Madonna del Mare,5,34124,Trieste,TS,040/300771,Alberghiera,Privata ente religioso,45,45,0,0,65,0,45.64728,13.766658,POINT (13.766658 45.64728)
59,Azienda Sanitaria Universitaria Giuliano Isontina,Villa Colle,Via Revoltella,69,34139,Trieste,TS,040/398207,Livello base,Privata di mercato,18,0,18,0,70,75,45.642109,13.798222,POINT (13.798222 45.642109)
21,Azienda Sanitaria Universitaria Giuliano Isontina,'SenilitÃ ',Via Coroneo,3,34133,Trieste,TS,040/366766,Primo livello,Privata di mercato,25,0,0,25,81,107.5,45.653174,13.777554,POINT (13.777554 45.653174)
20,Azienda Sanitaria Universitaria Giuliano Isontina,Insieme a Noi (ex Antonella 2),Via S. Lazzaro,17,34122,Trieste,TS,040/631020,Primo livello,Privata di mercato,24,0,0,24,102,102,45.651423,13.77591,POINT (13.77591 45.651423)
19,Azienda Sanitaria Universitaria Giuliano Isontina,Residenza 'Relax',Via S. Maurizio,13,34129,Trieste,TS,040/365070,Primo livello,Privata di mercato,25,0,0,25,75,100.5,45.649192,13.779958,POINT (13.779958 45.649192)
18,Azienda Sanitaria Universitaria Giuliano Isontina,'Raggio di Sole',Via Battisti,22,34125,Trieste,TS,040/661758,Primo livello,Privata di mercato,52,0,0,52,60,63.5,45.653294,13.781345,POINT (13.781345 45.653294)
17,Azienda Sanitaria Universitaria Giuliano Isontina,'Nonna Adriana',Via Torrebianca,8,34122,Trieste,TS,040/362961,Primo livello,Privata di mercato,25,0,0,25,78,81,45.653462,13.77192,POINT (13.77192 45.653462)
16,Azienda Sanitaria Universitaria Giuliano Isontina,'La Perla',Via Imbriani,2,34122,Trieste,TS,040/636666,Primo livello,Privata di mercato,34,0,0,34,101.5,101.5,45.649782,13.775493,POINT (13.775493 45.649782)
